env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 2.0000
NumCells_XYZ 100 100 20
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 2.5000 7.4286 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
1 19 2 0 -58 561 -4
1 19 3 0 -59 562 -2
1 19 4 0 -59 565 1
1 19 5 0 -59 564 0
1 19 6 0 -59 563 0
1 19 7 0 -59 563 0
1 19 8 0 -59 564 0
1 19 9 0 -59 564 1
1 19 10 0 -59 564 1
1 19 11 0 -58 565 1
1 19 12 0 -58 565 2
1 19 13 0 -58 566 2
1 19 14 0 -57 566 2
1 19 15 0 -56 567 3
1 19 16 0 -55 567 3
1 19 17 0 -54 568 3
1 19 18 0 -51 568 1
1 19 19 0 23 360 -27
1 20 0 0 -83 652 -7
1 20 19 0 18 667 -27
1 21 0 0 -109 718 -34
1 21 1 0 -49 675 -8
1 21 2 0 -52 675 -4
1 21 3 0 -53 676 -2
1 21 4 0 -55 676 2
1 21 5 0 -55 676 1
1 21 6 0 -55 676 0
1 21 7 0 -55 676 0
1 21 8 0 -55 676 0
1 21 9 0 -55 677 0
1 21 10 0 -54 677 0
1 21 11 0 -54 677 1
1 21 12 0 -54 677 1
1 21 13 0 -54 677 1
1 21 14 0 -53 677 2
1 21 15 0 -52 677 2
1 21 16 0 -52 677 3
1 21 17 0 -50 677 3
1 21 18 0 -47 675 1
1 21 19 0 11 458 -23
1 22 0 0 -78 762 -9
1 22 19 0 -44 721 -74
1 23 0 0 -103 820 -33
1 23 1 0 -46 779 -8
1 23 2 0 -49 779 -5
1 23 3 0 -50 778 -2
1 23 4 0 -52 778 2
1 23 5 0 -52 778 1
1 23 6 0 -51 778 1
1 23 7 0 -51 778 0
1 23 8 0 -51 778 0
1 23 9 0 -51 779 1
1 23 10 0 -51 779 1
1 23 11 0 -51 779 2
1 23 12 0 -51 779 2
1 23 13 0 -50 779 2
1 23 14 0 -50 780 2
1 23 15 0 -49 780 2
1 23 16 0 -48 780 4
1 23 17 0 -46 780 5
1 23 18 0 -42 779 5
1 23 19 0 -39 498 -41
1 24 0 0 -75 866 -3
1 24 19 0 -41 824 -65
1 25 0 0 -97 920 -28
1 25 1 0 -45 882 -7
1 25 2 0 -47 881 -4
1 25 3 0 -48 880 -2
1 25 4 0 -50 880 1
1 25 5 0 -49 880 1
1 25 6 0 -49 880 0
1 25 7 0 -49 880 0
1 25 8 0 -49 880 0
1 25 9 0 -49 880 1
1 25 10 0 -49 880 1
1 25 11 0 -49 880 2
1 25 12 0 -48 880 2
1 25 13 0 -48 880 2
1 25 14 0 -48 880 3
1 25 15 0 -47 880 3
1 25 16 0 -46 881 4
1 25 17 0 -44 881 5
1 25 18 0 -39 880 5
1 25 19 0 -43 610 -49
1 26 0 0 -71 967 0
1 26 19 0 -39 921 -57
1 27 0 0 -91 1020 -24
1 27 1 0 -42 977 -5
1 27 2 0 -43 977 -3
1 27 3 0 -44 976 -2
1 27 4 0 -46 975 1
1 27 5 0 -45 976 0
1 27 6 0 -45 976 0
1 27 7 0 -45 976 0
1 27 8 0 -45 976 1
1 27 9 0 -45 976 1
1 27 10 0 -45 976 1
1 27 11 0 -45 976 2
1 27 12 0 -45 976 3
1 27 13 0 -44 976 3
1 27 14 0 -44 976 3
1 27 15 0 -43 976 3
1 27 16 0 -42 976 4
1 27 17 0 -40 976 4
1 27 18 0 -35 976 3
1 27 19 0 -37 711 -54
1 28 0 0 -67 1065 0
1 28 19 0 -36 1007 -37
1 29 0 0 -84 1114 -23
1 29 1 0 -39 1066 -5
1 29 2 0 -40 1065 -3
1 29 3 0 -41 1065 -1
1 29 4 0 -42 1064 0
1 29 5 0 -42 1064 0
1 29 6 0 -42 1064 0
1 29 7 0 -42 1064 0
1 29 8 0 -42 1063 1
1 29 9 0 -42 1063 1
1 29 10 0 -42 1063 1
1 29 11 0 -42 1063 2
1 29 12 0 -42 1064 3
1 29 13 0 -41 1064 3
1 29 14 0 -41 1064 3
1 29 15 0 -40 1064 3
1 29 16 0 -39 1064 4
1 29 17 0 -37 1065 4
1 29 18 0 -32 1065 3
1 29 19 0 -33 821 -52
1 30 0 0 -59 1159 -5
1 30 19 0 -33 1084 -23
1 31 0 0 -74 1200 -25
1 31 1 0 -32 1147 -6
1 31 2 0 -33 1147 -4
1 31 3 0 -34 1147 -2
1 31 4 0 -35 1146 0
1 31 5 0 -34 1146 0
1 31 6 0 -35 1146 0
1 31 7 0 -34 1146 0
1 31 8 0 -35 1146 0
1 31 9 0 -34 1145 1
1 31 10 0 -34 1145 2
1 31 11 0 -34 1145 2
1 31 12 0 -34 1145 3
1 31 13 0 -34 1145 3
1 31 14 0 -33 1145 4
1 31 15 0 -32 1145 4
1 31 16 0 -31 1145 4
1 31 17 0 -29 1146 4
1 31 18 0 -26 1146 1
1 31 19 0 -32 915 -50
1 32 0 0 -51 1241 -5
1 32 19 0 -27 1143 -14
1 33 0 0 -61 1270 -23
1 33 1 0 -25 1208 -5
1 33 2 0 -27 1208 -4
1 33 3 0 -29 1207 -2
1 33 4 0 -30 1206 0
1 33 5 0 -30 1206 0
1 33 6 0 -31 1205 0
1 33 7 0 -31 1205 0
1 33 8 0 -31 1205 0
1 33 9 0 -31 1205 1
1 33 10 0 -31 1204 1
1 33 11 0 -31 1204 2
1 33 12 0 -30 1205 3
1 33 13 0 -30 1205 3
1 33 14 0 -29 1205 3
1 33 15 0 -27 1206 3
1 33 16 0 -26 1206 2
1 33 17 0 -24 1207 0
1 33 18 0 -21 1207 -4
1 33 19 0 -22 989 -48
1 34 0 0 -40 1307 -8
1 34 19 0 -24 1193 -5
1 35 0 0 -51 1332 -23
1 35 1 0 -23 1263 -6
1 35 2 0 -24 1262 -4
1 35 3 0 -26 1262 -3
1 35 4 0 -26 1261 -1
1 35 5 0 -27 1260 -1
1 35 6 0 -28 1260 0
1 35 7 0 -28 1260 0
1 35 8 0 -28 1259 0
1 35 9 0 -28 1259 1
1 35 10 0 -28 1259 1
1 35 11 0 -28 1259 2
1 35 12 0 -27 1259 3
1 35 13 0 -26 1260 3
1 35 14 0 -25 1260 4
1 35 15 0 -24 1260 4
1 35 16 0 -23 1261 3
1 35 17 0 -21 1261 1
1 35 18 0 -18 1261 -3
1 35 19 0 -15 1056 -43
1 36 0 0 -29 1370 -3
1 36 19 0 -18 1228 -2
1 37 0 0 -37 1373 -14
1 37 1 0 -14 1302 -3
1 37 2 0 -16 1301 -2
1 37 3 0 -18 1302 -1
1 37 4 0 -19 1302 0
1 37 5 0 -20 1302 0
1 37 6 0 -20 1303 0
1 37 7 0 -20 1303 0
1 37 8 0 -21 1303 0
1 37 9 0 -21 1303 0
1 37 10 0 -21 1302 1
1 37 11 0 -20 1302 1
1 37 12 0 -20 1302 1
1 37 13 0 -19 1301 1
1 37 14 0 -19 1301 2
1 37 15 0 -17 1299 2
1 37 16 0 -17 1300 0
1 37 17 0 -15 1300 -4
1 37 18 0 -13 1300 -10
1 37 19 0 -10 1093 -41
1 38 0 0 -20 1399 -6
1 38 19 0 -18 1246 4
1 39 0 0 -30 1412 -15
1 39 1 0 -11 1326 -4
1 39 2 0 -12 1326 -3
1 39 3 0 -13 1325 -2
1 39 4 0 -14 1325 -1
1 39 5 0 -14 1325 -1
1 39 6 0 -14 1325 0
1 39 7 0 -14 1326 0
1 39 8 0 -14 1326 0
1 39 9 0 -14 1326 0
1 39 10 0 -14 1325 1
1 39 11 0 -14 1325 1
1 39 12 0 -14 1325 2
1 39 13 0 -14 1325 2
1 39 14 0 -13 1324 3
1 39 15 0 -12 1324 4
1 39 16 0 -12 1324 0
1 39 17 0 -11 1324 -3
1 39 18 0 -11 1325 -9
1 39 19 0 -7 1125 -38
1 40 0 0 -12 1434 -2
1 40 19 0 -14 1265 5
1 41 0 0 -20 1435 -9
1 41 1 0 -6 1348 -2
1 41 2 0 -7 1348 -2
1 41 3 0 -7 1348 -1
1 41 4 0 -8 1348 0
1 41 5 0 -8 1349 0
1 41 6 0 -8 1349 0
1 41 7 0 -8 1350 0
1 41 8 0 -8 1350 0
1 41 9 0 -8 1350 0
1 41 10 0 -8 1350 0
1 41 11 0 -8 1349 1
1 41 12 0 -8 1349 1
1 41 13 0 -8 1348 1
1 41 14 0 -8 1347 2
1 41 15 0 -7 1346 3
1 41 16 0 -7 1347 -1
1 41 17 0 -7 1346 -5
1 41 18 0 -7 1345 -11
1 41 19 0 -7 1147 -37
1 42 0 0 -5 1449 -1
1 42 19 0 -11 1273 5
1 43 0 0 -14 1450 -7
1 43 1 0 0 1355 -1
1 43 2 0 -1 1355 -1
1 43 3 0 -2 1355 -1
1 43 4 0 -2 1355 0
1 43 5 0 -2 1355 0
1 43 6 0 -2 1355 0
1 43 7 0 -2 1355 0
1 43 8 0 -2 1356 0
1 43 9 0 -2 1356 0
1 43 10 0 -2 1355 0
1 43 11 0 -2 1355 0
1 43 12 0 -2 1355 0
1 43 13 0 -2 1355 0
1 43 14 0 -2 1354 1
1 43 15 0 -2 1354 2
